time,Q,T
0.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
1.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
3.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
4.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
5.000000000000000000e+00,0.000000000000000000e+00,2.251999999999999957e+01
6.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
7.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
8.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
9.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
1.000000000000000000e+01,7.000000000000000000e+01,2.219999999999999929e+01
1.100000000000000000e+01,7.000000000000000000e+01,2.219999999999999929e+01
1.200000000000000000e+01,7.000000000000000000e+01,2.219999999999999929e+01
1.300000000000000000e+01,7.000000000000000000e+01,2.219999999999999929e+01
1.400000000000000000e+01,7.000000000000000000e+01,2.251999999999999957e+01
1.500000000000000000e+01,7.000000000000000000e+01,2.251999999999999957e+01
1.600000000000000000e+01,7.000000000000000000e+01,2.251999999999999957e+01
1.700000000000000000e+01,7.000000000000000000e+01,2.251999999999999957e+01
1.800000000000000000e+01,7.000000000000000000e+01,2.251999999999999957e+01
1.900000000000000000e+01,7.000000000000000000e+01,2.283999999999999986e+01
2.000000000000000000e+01,7.000000000000000000e+01,2.283999999999999986e+01
2.100000000000000000e+01,7.000000000000000000e+01,2.316000000000000014e+01
2.200000000000000000e+01,7.000000000000000000e+01,2.316000000000000014e+01
2.300000000000000000e+01,7.000000000000000000e+01,2.348000000000000043e+01
2.400000000000000000e+01,7.000000000000000000e+01,2.348000000000000043e+01
2.500000000000000000e+01,7.000000000000000000e+01,2.348000000000000043e+01
2.600000000000000000e+01,7.000000000000000000e+01,2.380999999999999872e+01
2.700000000000000000e+01,7.000000000000000000e+01,2.412999999999999901e+01
2.800000000000000000e+01,7.000000000000000000e+01,2.412999999999999901e+01
2.900000000000000000e+01,7.000000000000000000e+01,2.444999999999999929e+01
3.000000000000000000e+01,7.000000000000000000e+01,2.476999999999999957e+01
3.100000000000000000e+01,7.000000000000000000e+01,2.510000000000000142e+01
3.200000000000000000e+01,7.000000000000000000e+01,2.510000000000000142e+01
3.300000000000000000e+01,7.000000000000000000e+01,2.542000000000000171e+01
3.400000000000000000e+01,7.000000000000000000e+01,2.573999999999999844e+01
3.500000000000000000e+01,7.000000000000000000e+01,2.605999999999999872e+01
3.600000000000000000e+01,7.000000000000000000e+01,2.605999999999999872e+01
3.700000000000000000e+01,7.000000000000000000e+01,2.639000000000000057e+01
3.800000000000000000e+01,7.000000000000000000e+01,2.671000000000000085e+01
3.900000000000000000e+01,7.000000000000000000e+01,2.703000000000000114e+01
4.000000000000000000e+01,7.000000000000000000e+01,2.735000000000000142e+01
4.100000000000000000e+01,7.000000000000000000e+01,2.735000000000000142e+01
4.200000000000000000e+01,7.000000000000000000e+01,2.767000000000000171e+01
4.300000000000000000e+01,7.000000000000000000e+01,2.800000000000000000e+01
4.400000000000000000e+01,7.000000000000000000e+01,2.832000000000000028e+01
4.500000000000000000e+01,7.000000000000000000e+01,2.864000000000000057e+01
4.600000000000000000e+01,7.000000000000000000e+01,2.896000000000000085e+01
4.700000000000000000e+01,7.000000000000000000e+01,2.896000000000000085e+01
4.800000000000000000e+01,7.000000000000000000e+01,2.928999999999999915e+01
4.900000000000000000e+01,7.000000000000000000e+01,2.960999999999999943e+01
5.000000000000000000e+01,7.000000000000000000e+01,2.992999999999999972e+01
5.100000000000000000e+01,7.000000000000000000e+01,3.025000000000000000e+01
5.200000000000000000e+01,7.000000000000000000e+01,3.057000000000000028e+01
5.300000000000000000e+01,7.000000000000000000e+01,3.057000000000000028e+01
5.400000000000000000e+01,7.000000000000000000e+01,3.121999999999999886e+01
5.500000000000000000e+01,7.000000000000000000e+01,3.153999999999999915e+01
5.600000000000000000e+01,7.000000000000000000e+01,3.153999999999999915e+01
5.700000000000000000e+01,7.000000000000000000e+01,3.185999999999999943e+01
5.800000000000000000e+01,7.000000000000000000e+01,3.218999999999999773e+01
5.900000000000000000e+01,7.000000000000000000e+01,3.250999999999999801e+01
6.000000000000000000e+01,7.000000000000000000e+01,3.314999999999999858e+01
6.100000000000000000e+01,7.000000000000000000e+01,3.282999999999999829e+01
6.200000000000000000e+01,7.000000000000000000e+01,3.314999999999999858e+01
6.300000000000000000e+01,7.000000000000000000e+01,3.347999999999999687e+01
6.400000000000000000e+01,7.000000000000000000e+01,3.379999999999999716e+01
6.500000000000000000e+01,7.000000000000000000e+01,3.411999999999999744e+01
6.600000000000000000e+01,7.000000000000000000e+01,3.411999999999999744e+01
6.700000000000000000e+01,7.000000000000000000e+01,3.443999999999999773e+01
6.800000000000000000e+01,7.000000000000000000e+01,3.475999999999999801e+01
6.900000000000000000e+01,7.000000000000000000e+01,3.509000000000000341e+01
7.000000000000000000e+01,7.000000000000000000e+01,3.509000000000000341e+01
7.100000000000000000e+01,7.000000000000000000e+01,3.540999999999999659e+01
7.200000000000000000e+01,7.000000000000000000e+01,3.572999999999999687e+01
7.300000000000000000e+01,7.000000000000000000e+01,3.604999999999999716e+01
7.400000000000000000e+01,7.000000000000000000e+01,3.604999999999999716e+01
7.500000000000000000e+01,7.000000000000000000e+01,3.638000000000000256e+01
7.600000000000000000e+01,7.000000000000000000e+01,3.670000000000000284e+01
7.700000000000000000e+01,7.000000000000000000e+01,3.702000000000000313e+01
7.800000000000000000e+01,7.000000000000000000e+01,3.734000000000000341e+01
7.900000000000000000e+01,7.000000000000000000e+01,3.734000000000000341e+01
8.000000000000000000e+01,7.000000000000000000e+01,3.767000000000000171e+01
8.100000000000000000e+01,7.000000000000000000e+01,3.799000000000000199e+01
8.200000000000000000e+01,7.000000000000000000e+01,3.831000000000000227e+01
8.300000000000000000e+01,7.000000000000000000e+01,3.863000000000000256e+01
8.400000000000000000e+01,7.000000000000000000e+01,3.863000000000000256e+01
8.500000000000000000e+01,7.000000000000000000e+01,3.895000000000000284e+01
8.600000000000000000e+01,7.000000000000000000e+01,3.928000000000000114e+01
8.700000000000000000e+01,7.000000000000000000e+01,3.960000000000000142e+01
8.800000000000000000e+01,7.000000000000000000e+01,3.992000000000000171e+01
8.900000000000000000e+01,7.000000000000000000e+01,3.992000000000000171e+01
9.000000000000000000e+01,7.000000000000000000e+01,4.024000000000000199e+01
9.100000000000000000e+01,7.000000000000000000e+01,4.057000000000000028e+01
9.200000000000000000e+01,7.000000000000000000e+01,4.089000000000000057e+01
9.300000000000000000e+01,7.000000000000000000e+01,4.121000000000000085e+01
9.400000000000000000e+01,7.000000000000000000e+01,4.153000000000000114e+01
9.500000000000000000e+01,7.000000000000000000e+01,4.153000000000000114e+01
9.600000000000000000e+01,7.000000000000000000e+01,4.185999999999999943e+01
9.700000000000000000e+01,7.000000000000000000e+01,4.217999999999999972e+01
9.800000000000000000e+01,7.000000000000000000e+01,4.250000000000000000e+01
9.900000000000000000e+01,7.000000000000000000e+01,4.282000000000000028e+01
1.000000000000000000e+02,7.000000000000000000e+01,4.282000000000000028e+01
1.010000000000000000e+02,7.000000000000000000e+01,4.314000000000000057e+01
1.020000000000000000e+02,7.000000000000000000e+01,4.346999999999999886e+01
1.030000000000000000e+02,7.000000000000000000e+01,4.346999999999999886e+01
1.040000000000000000e+02,7.000000000000000000e+01,4.378999999999999915e+01
1.050000000000000000e+02,7.000000000000000000e+01,4.378999999999999915e+01
1.060000000000000000e+02,7.000000000000000000e+01,4.410999999999999943e+01
1.070000000000000000e+02,7.000000000000000000e+01,4.442999999999999972e+01
1.080000000000000000e+02,7.000000000000000000e+01,4.442999999999999972e+01
1.090000000000000000e+02,7.000000000000000000e+01,4.475999999999999801e+01
1.100000000000000000e+02,7.000000000000000000e+01,4.475999999999999801e+01
1.110000000000000000e+02,7.000000000000000000e+01,4.507999999999999829e+01
1.120000000000000000e+02,7.000000000000000000e+01,4.539999999999999858e+01
1.130000000000000000e+02,7.000000000000000000e+01,4.539999999999999858e+01
1.140000000000000000e+02,7.000000000000000000e+01,4.571999999999999886e+01
1.150000000000000000e+02,7.000000000000000000e+01,4.571999999999999886e+01
1.160000000000000000e+02,7.000000000000000000e+01,4.604999999999999716e+01
1.170000000000000000e+02,7.000000000000000000e+01,4.604999999999999716e+01
1.180000000000000000e+02,7.000000000000000000e+01,4.636999999999999744e+01
1.190000000000000000e+02,7.000000000000000000e+01,4.636999999999999744e+01
1.200000000000000000e+02,7.000000000000000000e+01,4.668999999999999773e+01
1.210000000000000000e+02,7.000000000000000000e+01,4.668999999999999773e+01
1.220000000000000000e+02,7.000000000000000000e+01,4.668999999999999773e+01
1.230000000000000000e+02,7.000000000000000000e+01,4.700999999999999801e+01
1.240000000000000000e+02,7.000000000000000000e+01,4.732999999999999829e+01
1.250000000000000000e+02,7.000000000000000000e+01,4.732999999999999829e+01
1.260000000000000000e+02,7.000000000000000000e+01,4.765999999999999659e+01
1.270000000000000000e+02,7.000000000000000000e+01,4.765999999999999659e+01
1.280000000000000000e+02,7.000000000000000000e+01,4.765999999999999659e+01
1.290000000000000000e+02,7.000000000000000000e+01,4.797999999999999687e+01
1.300000000000000000e+02,7.000000000000000000e+01,4.829999999999999716e+01
1.310000000000000000e+02,7.000000000000000000e+01,4.829999999999999716e+01
1.320000000000000000e+02,7.000000000000000000e+01,4.861999999999999744e+01
1.330000000000000000e+02,7.000000000000000000e+01,4.861999999999999744e+01
1.340000000000000000e+02,7.000000000000000000e+01,4.895000000000000284e+01
1.350000000000000000e+02,7.000000000000000000e+01,4.895000000000000284e+01
1.360000000000000000e+02,7.000000000000000000e+01,4.895000000000000284e+01
1.370000000000000000e+02,7.000000000000000000e+01,4.927000000000000313e+01
1.380000000000000000e+02,7.000000000000000000e+01,4.927000000000000313e+01
1.390000000000000000e+02,7.000000000000000000e+01,4.959000000000000341e+01
1.400000000000000000e+02,7.000000000000000000e+01,4.959000000000000341e+01
1.410000000000000000e+02,7.000000000000000000e+01,4.990999999999999659e+01
1.420000000000000000e+02,7.000000000000000000e+01,5.024000000000000199e+01
1.430000000000000000e+02,7.000000000000000000e+01,5.024000000000000199e+01
1.440000000000000000e+02,7.000000000000000000e+01,5.056000000000000227e+01
1.450000000000000000e+02,7.000000000000000000e+01,5.056000000000000227e+01
1.460000000000000000e+02,7.000000000000000000e+01,5.088000000000000256e+01
1.470000000000000000e+02,7.000000000000000000e+01,5.120000000000000284e+01
1.480000000000000000e+02,7.000000000000000000e+01,5.120000000000000284e+01
1.490000000000000000e+02,7.000000000000000000e+01,5.120000000000000284e+01
1.500000000000000000e+02,7.000000000000000000e+01,5.152000000000000313e+01
1.510000000000000000e+02,7.000000000000000000e+01,5.152000000000000313e+01
1.520000000000000000e+02,7.000000000000000000e+01,5.152000000000000313e+01
1.530000000000000000e+02,7.000000000000000000e+01,5.152000000000000313e+01
1.540000000000000000e+02,7.000000000000000000e+01,5.185000000000000142e+01
1.550000000000000000e+02,7.000000000000000000e+01,5.217000000000000171e+01
1.560000000000000000e+02,7.000000000000000000e+01,5.217000000000000171e+01
1.570000000000000000e+02,7.000000000000000000e+01,5.249000000000000199e+01
1.580000000000000000e+02,7.000000000000000000e+01,5.249000000000000199e+01
1.590000000000000000e+02,7.000000000000000000e+01,5.281000000000000227e+01
1.600000000000000000e+02,7.000000000000000000e+01,5.281000000000000227e+01
1.610000000000000000e+02,7.000000000000000000e+01,5.314000000000000057e+01
1.620000000000000000e+02,7.000000000000000000e+01,5.314000000000000057e+01
1.630000000000000000e+02,7.000000000000000000e+01,5.346000000000000085e+01
1.640000000000000000e+02,7.000000000000000000e+01,5.346000000000000085e+01
1.650000000000000000e+02,7.000000000000000000e+01,5.346000000000000085e+01
1.660000000000000000e+02,7.000000000000000000e+01,5.346000000000000085e+01
1.670000000000000000e+02,7.000000000000000000e+01,5.378000000000000114e+01
1.680000000000000000e+02,7.000000000000000000e+01,5.378000000000000114e+01
1.690000000000000000e+02,7.000000000000000000e+01,5.410000000000000142e+01
1.700000000000000000e+02,7.000000000000000000e+01,5.410000000000000142e+01
1.710000000000000000e+02,7.000000000000000000e+01,5.410000000000000142e+01
1.720000000000000000e+02,7.000000000000000000e+01,5.410000000000000142e+01
1.730000000000000000e+02,7.000000000000000000e+01,5.442999999999999972e+01
1.740000000000000000e+02,7.000000000000000000e+01,5.442999999999999972e+01
1.750000000000000000e+02,7.000000000000000000e+01,5.442999999999999972e+01
1.760000000000000000e+02,7.000000000000000000e+01,5.442999999999999972e+01
1.770000000000000000e+02,7.000000000000000000e+01,5.442999999999999972e+01
1.780000000000000000e+02,7.000000000000000000e+01,5.442999999999999972e+01
1.790000000000000000e+02,7.000000000000000000e+01,5.475000000000000000e+01
1.800000000000000000e+02,7.000000000000000000e+01,5.475000000000000000e+01
1.810000000000000000e+02,7.000000000000000000e+01,5.507000000000000028e+01
1.820000000000000000e+02,7.000000000000000000e+01,5.507000000000000028e+01
1.830000000000000000e+02,7.000000000000000000e+01,5.539000000000000057e+01
1.840000000000000000e+02,7.000000000000000000e+01,5.539000000000000057e+01
1.850000000000000000e+02,7.000000000000000000e+01,5.571000000000000085e+01
1.860000000000000000e+02,7.000000000000000000e+01,5.571000000000000085e+01
1.870000000000000000e+02,7.000000000000000000e+01,5.603999999999999915e+01
1.880000000000000000e+02,7.000000000000000000e+01,5.603999999999999915e+01
1.890000000000000000e+02,7.000000000000000000e+01,5.603999999999999915e+01
1.900000000000000000e+02,7.000000000000000000e+01,5.635999999999999943e+01
1.910000000000000000e+02,7.000000000000000000e+01,5.635999999999999943e+01
1.920000000000000000e+02,7.000000000000000000e+01,5.635999999999999943e+01
1.930000000000000000e+02,7.000000000000000000e+01,5.667999999999999972e+01
1.940000000000000000e+02,7.000000000000000000e+01,5.700000000000000000e+01
1.950000000000000000e+02,7.000000000000000000e+01,5.667999999999999972e+01
1.960000000000000000e+02,7.000000000000000000e+01,5.700000000000000000e+01
1.970000000000000000e+02,7.000000000000000000e+01,5.700000000000000000e+01
1.980000000000000000e+02,7.000000000000000000e+01,5.700000000000000000e+01
1.990000000000000000e+02,7.000000000000000000e+01,5.700000000000000000e+01
2.000000000000000000e+02,3.000000000000000000e+01,5.700000000000000000e+01
2.010000000000000000e+02,3.000000000000000000e+01,5.732999999999999829e+01
2.020000000000000000e+02,3.000000000000000000e+01,5.732999999999999829e+01
2.030000000000000000e+02,3.000000000000000000e+01,5.732999999999999829e+01
2.040000000000000000e+02,3.000000000000000000e+01,5.732999999999999829e+01
2.050000000000000000e+02,3.000000000000000000e+01,5.764999999999999858e+01
2.060000000000000000e+02,3.000000000000000000e+01,5.764999999999999858e+01
2.070000000000000000e+02,3.000000000000000000e+01,5.796999999999999886e+01
2.080000000000000000e+02,3.000000000000000000e+01,5.796999999999999886e+01
2.090000000000000000e+02,3.000000000000000000e+01,5.796999999999999886e+01
2.100000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.110000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.120000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.130000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.140000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.150000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.160000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.170000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.180000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.190000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.200000000000000000e+02,3.000000000000000000e+01,5.796999999999999886e+01
2.210000000000000000e+02,3.000000000000000000e+01,5.796999999999999886e+01
2.220000000000000000e+02,3.000000000000000000e+01,5.796999999999999886e+01
2.230000000000000000e+02,3.000000000000000000e+01,5.764999999999999858e+01
2.240000000000000000e+02,3.000000000000000000e+01,5.764999999999999858e+01
2.250000000000000000e+02,3.000000000000000000e+01,5.764999999999999858e+01
2.260000000000000000e+02,3.000000000000000000e+01,5.764999999999999858e+01
2.270000000000000000e+02,3.000000000000000000e+01,5.764999999999999858e+01
2.280000000000000000e+02,3.000000000000000000e+01,5.732999999999999829e+01
2.290000000000000000e+02,3.000000000000000000e+01,5.732999999999999829e+01
2.300000000000000000e+02,3.000000000000000000e+01,5.700000000000000000e+01
2.310000000000000000e+02,3.000000000000000000e+01,5.700000000000000000e+01
2.320000000000000000e+02,3.000000000000000000e+01,5.700000000000000000e+01
2.330000000000000000e+02,3.000000000000000000e+01,5.667999999999999972e+01
2.340000000000000000e+02,3.000000000000000000e+01,5.700000000000000000e+01
2.350000000000000000e+02,3.000000000000000000e+01,5.667999999999999972e+01
2.360000000000000000e+02,3.000000000000000000e+01,5.667999999999999972e+01
2.370000000000000000e+02,3.000000000000000000e+01,5.667999999999999972e+01
2.380000000000000000e+02,3.000000000000000000e+01,5.667999999999999972e+01
2.390000000000000000e+02,3.000000000000000000e+01,5.635999999999999943e+01
2.400000000000000000e+02,3.000000000000000000e+01,5.635999999999999943e+01
2.410000000000000000e+02,3.000000000000000000e+01,5.603999999999999915e+01
2.420000000000000000e+02,3.000000000000000000e+01,5.603999999999999915e+01
2.430000000000000000e+02,3.000000000000000000e+01,5.603999999999999915e+01
2.440000000000000000e+02,3.000000000000000000e+01,5.603999999999999915e+01
2.450000000000000000e+02,3.000000000000000000e+01,5.571000000000000085e+01
2.460000000000000000e+02,3.000000000000000000e+01,5.603999999999999915e+01
2.470000000000000000e+02,3.000000000000000000e+01,5.603999999999999915e+01
2.480000000000000000e+02,3.000000000000000000e+01,5.571000000000000085e+01
2.490000000000000000e+02,3.000000000000000000e+01,5.571000000000000085e+01
2.500000000000000000e+02,3.000000000000000000e+01,5.571000000000000085e+01
2.510000000000000000e+02,3.000000000000000000e+01,5.539000000000000057e+01
2.520000000000000000e+02,3.000000000000000000e+01,5.539000000000000057e+01
2.530000000000000000e+02,3.000000000000000000e+01,5.507000000000000028e+01
2.540000000000000000e+02,3.000000000000000000e+01,5.507000000000000028e+01
2.550000000000000000e+02,3.000000000000000000e+01,5.507000000000000028e+01
2.560000000000000000e+02,3.000000000000000000e+01,5.507000000000000028e+01
2.570000000000000000e+02,3.000000000000000000e+01,5.475000000000000000e+01
2.580000000000000000e+02,3.000000000000000000e+01,5.475000000000000000e+01
2.590000000000000000e+02,3.000000000000000000e+01,5.442999999999999972e+01
2.600000000000000000e+02,3.000000000000000000e+01,5.442999999999999972e+01
2.610000000000000000e+02,3.000000000000000000e+01,5.442999999999999972e+01
2.620000000000000000e+02,3.000000000000000000e+01,5.410000000000000142e+01
2.630000000000000000e+02,3.000000000000000000e+01,5.410000000000000142e+01
2.640000000000000000e+02,3.000000000000000000e+01,5.378000000000000114e+01
2.650000000000000000e+02,3.000000000000000000e+01,5.346000000000000085e+01
2.660000000000000000e+02,3.000000000000000000e+01,5.346000000000000085e+01
2.670000000000000000e+02,3.000000000000000000e+01,5.314000000000000057e+01
2.680000000000000000e+02,3.000000000000000000e+01,5.314000000000000057e+01
2.690000000000000000e+02,3.000000000000000000e+01,5.281000000000000227e+01
2.700000000000000000e+02,3.000000000000000000e+01,5.281000000000000227e+01
2.710000000000000000e+02,3.000000000000000000e+01,5.281000000000000227e+01
2.720000000000000000e+02,3.000000000000000000e+01,5.281000000000000227e+01
2.730000000000000000e+02,3.000000000000000000e+01,5.281000000000000227e+01
2.740000000000000000e+02,3.000000000000000000e+01,5.249000000000000199e+01
2.750000000000000000e+02,3.000000000000000000e+01,5.249000000000000199e+01
2.760000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.770000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.780000000000000000e+02,3.000000000000000000e+01,5.249000000000000199e+01
2.790000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.800000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.810000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.820000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.830000000000000000e+02,3.000000000000000000e+01,5.217000000000000171e+01
2.840000000000000000e+02,3.000000000000000000e+01,5.185000000000000142e+01
2.850000000000000000e+02,3.000000000000000000e+01,5.185000000000000142e+01
2.860000000000000000e+02,3.000000000000000000e+01,5.185000000000000142e+01
2.870000000000000000e+02,3.000000000000000000e+01,5.152000000000000313e+01
2.880000000000000000e+02,3.000000000000000000e+01,5.152000000000000313e+01
2.890000000000000000e+02,3.000000000000000000e+01,5.152000000000000313e+01
2.900000000000000000e+02,3.000000000000000000e+01,5.120000000000000284e+01
2.910000000000000000e+02,3.000000000000000000e+01,5.120000000000000284e+01
2.920000000000000000e+02,3.000000000000000000e+01,5.120000000000000284e+01
2.930000000000000000e+02,3.000000000000000000e+01,5.088000000000000256e+01
2.940000000000000000e+02,3.000000000000000000e+01,5.056000000000000227e+01
2.950000000000000000e+02,3.000000000000000000e+01,5.056000000000000227e+01
2.960000000000000000e+02,3.000000000000000000e+01,5.056000000000000227e+01
2.970000000000000000e+02,3.000000000000000000e+01,5.056000000000000227e+01
2.980000000000000000e+02,3.000000000000000000e+01,5.056000000000000227e+01
2.990000000000000000e+02,3.000000000000000000e+01,5.056000000000000227e+01
