No.,Name,Formula,CASN,Family,Source_Type,Data_Type,Uncertanity of experimental data,Par (calc./est.),AD%<,Status,Par(1),Par(2),Par(3),Par(4),Par(5),Par(6),Par(7),Par(8),Par(9),Par(10),Par(11),Par(12),Par(13),Par(14),Par(15),Par(16),Par(17),Par(18),Par(19),Par(20),Par(21),Par(22),Par(23),Par(24),Par(25),Par(26),Par(27),Par(28),Par(29),Par(30),Par(31),Par(32),Par(33),Par(34),Par(35),Par(36),Par(37),Par(38),Par(39),Par(40)
163,"1,2,3,4-TETRAHYDRONAPHTHALENE",C10H12,119-64-2,NAPHTHALENES,Evaluated,Smoothed,< 5%,326.0462446,1,training,0,4,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1-n-BUTYLNAPHTHALENE,C14H16,1634-09-9,NAPHTHALENES,Evaluated,Smoothed,< 5%,457.8222829,1,training,1,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1-n-HEXYLNAPHTHALENE,C16H20,2876-53-1,NAPHTHALENES,Evaluated,Smoothed,< 5%,532.4506601,2,training,1,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1-n-PROPYLNAPHTHALENE,C13H14,2765-18-6,NAPHTHALENES,Evaluated,Smoothed,< 5%,420.4173084,1,training,1,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2-ETHYLNAPHTHALENE,C12H12,939-27-5,NAPHTHALENES,Evaluated,Smoothed,< 5%,382.9588411,2,training,1,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,INDENE,C9H8,95-13-6,OTHER HYDROCARBON RINGS,Unevaluated,Experimental,< 1%,292.5267627,2,training,0,1,0,0,1,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,PHENANTHRENE,C14H10,85-01-8,OTHER CONDENSED RINGS,Unevaluated,Experimental,< 1%,435.6307546,5,training,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,sec-BUTYLCYCLOHEXANE,C10H20,1/7/7058,ALKYLCYCLOHEXANES,Staff,Predicted,< 10%,398.0204279,1,training,2,6,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,alpha-PINENE,C10H16,80-56-8,TERPENES,Unevaluated,Experimental,< 1%,360.0865933,1,training,3,2,2,1,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,beta-PINENE,C10H16,127-91-3,TERPENES,Evaluated,Smoothed,< 5%,360.8004475,1,training,2,3,2,1,3,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,GLYCOL ALDEHYDE,C2H4O2,141-46-8,"OTHER POLYFUNCTIONAL C, H, O",Staff,Predicted,< 10%,136.2890434,1,training,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0
178,ACETYLACETONE,C5H8O2,123-54-6,KETONES,Staff,Defined,< 10%,242.1159138,1,training,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
181,HYDRACRYLONITRILE_2002Review,C3H5NO,109-78-4,POLYFUNCTIONAL NITRILES,Staff,Predicted,< 10%,185.0418107,1,training,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0
182,THIAINDAN,C8H8S,4565-32-6,SULFIDES/THIOPHENES,Staff,Predicted,< 10%,311.6946727,1,training,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0
183,2-METHYL THIAINDAN,C9H10S,6165-55-5,SULFIDES/THIOPHENES,Staff,Predicted,< 10%,347.726423,1,training,1,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0
184,TRIISOBUTYL ALUMINUM,C12H27Al,100-99-2,ORGANIC/INORGANIC COMPOUNDS,Staff,Predicted,< 10%,545.658816,1,training,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,epsilon-CAPROLACTAM_2002Review,C6H11NO,105-60-2,"POLYFUNCTIONAL C, H, O, N",Staff,Predicted,< 10%,284.7971521,1,training,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,2,0,0,1,0,0,0
186,ACETOMETHOXANE,C8H14O4,828-00-2,POLYFUNCTIONAL ESTERS,Staff,Predicted,< 5%,383.8732756,1,training,3,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,1,2,3,3,0,1,2,0,0
187,[3-(MERCAPTO)PROPYL]TRIETHOXYSILANE,C9H22O3SSi,14814-09-6,SILANES/SILOXANES,Staff,Predicted,< 10%,578.2083817,1,training,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,0,0,0,0,9,2,0,0,3,0,0
188,3-(TRIMETHOXYSILYL)-1-PROPANETHIOL,C6H16O3SSi,4420-74-0,SILANES/SILOXANES,Unevaluated,Unknown,< 5%,473.4821583,1,training,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,3,2,0,0,0,6,0,2,0,0,0,0,0
190,n-DOTRIACONTANE,C32H66,544-85-4,N-ALKANES,Unevaluated,Experimental,< 1%,1329.048632,1,training,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2-CYCLOHEXENE-1-ONE,C6H8O,930-68-7,KETONES,Staff,Predicted,< 5%,228.1075445,1,training,0,3,0,0,3,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
192,"2,4-DIMETHYLOCTANE",C10H22,4032-94-4,DIMETHYLALKANES,Evaluated,Smoothed,< 5%,426.673616,1,training,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2-ETHYL HEXANOIC ACID_2002Review,C8H16O2,149-57-5,OTHER ALIPHATIC ACIDS,Staff,Predicted,< 10%,367.4160757,1,training,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0
195,PROPYLENEIMINE,C3H7N,75-55-8,"OTHER AMINES, IMINES",Staff,Predicted,< 10%,159.31902,1,training,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,0,0,0,0,0,0
196,DIAMYL KETONE,C11H22O,927-49-1,KETONES,Staff,Defined,< 3%,470.4504264,1,training,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
197,THYMOL,C10H14O,89-83-8,AROMATIC ALCOHOLS,Staff,Defined,< 1%,374.9934152,1,training,3,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
198,1-METHYL-3-HYDROXY-5-ISOPROPYL BENZENE,C10H14O,3/3/3228,AROMATIC ALCOHOLS,Staff,Predicted,< 5%,374.9934152,1,training,3,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
199,1-METHYL-3-HYDROXY-6-ISOPROPYL BENZENE,C10H14O,2/2/3228,AROMATIC ALCOHOLS,Staff,Predicted,< 5%,374.9934152,1,training,3,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
202,RDX,C3H6N6O6,121-82-4,"C, H, NO2 COMPOUNDS",Staff,Predicted,< 10%,389.1205434,1,training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,3,0
203,HMX,C4H8N8O8,2691-41-0,"C, H, NO2 COMPOUNDS",Staff,Predicted,< 10%,508.9993118,1,training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,4,0
205,2-METHYLTHIACYCLOPENTANE,C5H10S,1795-09-1,SULFIDES/THIOPHENES,Staff,Experimental,< 10%,251.9191448,1,training,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0
206,sec-BUTENYL GLYCOL ETHER,C6H12O2,100524-60-5,"OTHER POLYFUNCTIONAL C, H, O",Staff,Predicted,< 10%,300.0970122,1,training,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,2,1,0,0,0,3,0,0,0,1,0,0
207,TRIMETHYL INDIUM,C3H9In,3385-78-2,ORGANIC/INORGANIC COMPOUNDS,Staff,Defined,< 50%,226.6671694,13,training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,TRIETHYL GALLIUM,C6H15Ga,1115-99-7,ORGANIC/INORGANIC COMPOUNDS,Staff,Defined,< 50%,284.3175363,13,training,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,TIN(IV) CHLORIDE,Cl4Sn,7646-78-8,OTHER INORGANICS,Staff,Defined,< 1%,265.4717835,2,training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
210,ARSENIC (III) CHLORIDE,AsCl3,7784-34-1,INORGANIC HALIDES,Staff,Predicted,< 10%,214.3090287,2,training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
212,HEXADECAMETHYLCYCLOOCTASILOXANE,C16H48O8Si8,556-68-3,SILANES/SILOXANES,Staff,Predicted,< 10%,1423.568528,11,training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0
213,EICOSAMETHYLNONASILOXANE,C20H60O8Si9,2652-13-3,SILANES/SILOXANES,Staff,Predicted,< 5%,1423.568528,9,training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0
214,HEXACOSAMETHYLDODECASILOXANE,C26H78O11Si12,8/1/2471,SILANES/SILOXANES,Staff,Predicted,< 10%,2030.67643,1,training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0
215,(3-METHYLACRYLOXYPROPYL)TRICHLOROSILANE,C7H11Cl3O2Si,7351-61-3,SILANES/SILOXANES,Staff,Predicted,< 10%,511.0798931,1,training,2,1,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,1,0,0,3
216,BIS[3-(TRIMETHOXYSILYL)PROPYL]DISULFIDE,C12H30O6S2Si2,35112-74-4,SILANES/SILOXANES,Staff,Predicted,< 10%,888.6695821,1,training,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0,0,0,0,0,4,0,0,6,0,0
217,TRIMETHYL SILANOL,C3H10OSi,1066-40-6,SILANES/SILOXANES,Staff,Predicted,< 10%,231.6457509,1,training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
218,PROPANESULFONYL CHLORIDE,C3H7ClO2S,10147-36-1,ORGANIC/INORGANIC COMPOUNDS,Staff,Predicted,< 5%,253.7548388,1,training,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,2,0,0,1
219,2-HYDROXYPROPYL ACRYLATE,C6H10O3,999-61-1,POLYFUNCTIONAL ESTERS,Staff,Predicted,< 10%,318.304954,1,training,1,1,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,3,1,1,0,1,0,3,0,0,1,0,0,0
220,DI-(2-CHLOROETHOXY)METHANE,C5H10Cl2O2,111-91-1,"POLYFUNCTIONAL C, H, O, HALIDE",Staff,Predicted,< 5%,342.8262048,1,training,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,4,0,0,0,2,0,0,0,0,2,0,0
221,1-CHLORO-3-PROPANOL,C3H7ClO,627-30-5,"POLYFUNCTIONAL C, H, O, HALIDE",Staff,Predicted,< 5%,177.3909379,1,training,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,2,0,0,0,0,0
222,METHOXYACETONE,C4H8O2,5878-19-3,"OTHER POLYFUNCTIONAL C, H, O",Staff,Predicted,< 10%,218.6235807,1,training,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0
223,STIGMASTEROL,C29H48O,83-48-7,CYCLOALIPHATIC ALCOHOLS,Staff,Predicted,< 10%,1048.132541,1,training,6,10,7,2,9,4,2,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,0,0
224,METHYL-4-FORMYLBENZOATE,C9H8O3,1571-08-0,"OTHER POLYFUNCTIONAL C, H, O",Staff,Predicted,< 10%,283.1654275,1,training,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0
225,HYDROXYPIVALYL HYDROXYPIVALATE,C10H20O4,1115-20-4,POLYFUNCTIONAL ESTERS,Staff,Predicted,< 10%,476.3679344,1,training,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,2,4,3,0,0,1,0,0,0,0,1,0,0,0
226,TETRAETHYLENE GLYCOL MONOBUTYL ETHER,C12H26O5,1559-34-8,"OTHER POLYFUNCTIONAL C, H, O",Staff,Predicted,< 10%,622.7586839,1,training,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,1,5,9,0,0,0,0,2,0,0,0,4,0,0
227,METHYL para-TOLUATE,C9H10O2,99-75-2,AROMATIC ESTERS,Staff,Predicted,< 10%,347.886748,1,training,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0
10,3-METHYLPENTANE,C6H14,96-14-0,METHYLALKANES,Evaluated,Smoothed,< 5%,268.7826761,1,validation,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"2,2-DIMETHYLBUTANE",C6H14,75-83-2,DIMETHYLALKANES,Evaluated,Smoothed,< 5%,263.728501,2,validation,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"2,5-DIMETHYLHEXANE",C8H18,592-13-2,DIMETHYLALKANES,Evaluated,Smoothed,< 5%,344.8987167,1,validation,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"3,3-DIETHYLPENTANE",C9H20,1067-20-5,OTHER ALKANES,Evaluated,Smoothed,< 5%,381.8253081,2,validation,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"2,2,3,3-TETRAMETHYLPENTANE",C9H20,7154-79-2,OTHER ALKANES,Evaluated,Smoothed,< 5%,380.1280852,2,validation,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"2,2,4,4-TETRAMETHYLPENTANE",C9H20,1070-87-7,OTHER ALKANES,Evaluated,Smoothed,< 5%,380.1280852,1,validation,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,n-DODECANE,C12H26,112-40-3,N-ALKANES,Evaluated,Smoothed,< 5%,509.1948044,1,validation,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,ETHYLCYCLOPENTANE,C7H14,1640-89-7,ALKYLCYCLOPENTANES,Evaluated,Smoothed,< 5%,284.8212202,1,validation,1,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,ETHYLCYCLOHEXANE,C8H16,1678-91-7,ALKYLCYCLOHEXANES,Evaluated,Smoothed,< 5%,322.585728,1,validation,1,6,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,n-BUTYLCYCLOHEXANE,C10H20,1678-93-9,ALKYLCYCLOHEXANES,Evaluated,Smoothed,< 5%,400.5236638,1,validation,1,8,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,3-METHYL-1-BUTENE,C5H10,563-45-1,METHYLALKENES,Evaluated,Smoothed,< 5%,219.3442708,1,validation,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2-METHYL-2-BUTENE,C5H10,513-35-9,METHYLALKENES,Unevaluated,Experimental,< 1%,222.7546445,3,validation,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1-EICOSENE,C20H40,7/1/3452,1-ALKENES,Evaluated,Smoothed,< 5%,823.615609,1,validation,1,17,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,PROPADIENE,C3H4,463-49-0,DIALKENES,Unevaluated,Experimental,< 1%,113.2892365,9,validation,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,ETHYLACETYLENE,C4H6,107-00-6,ALKYNES,Unevaluated,Experimental,< 1%,168.0741876,1,validation,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
116,1-HEXYNE,C6H10,693-02-7,ALKYNES,Evaluated,Smoothed,< 5%,245.8949835,1,validation,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130,p-ETHYLTOLUENE,C9H12,622-96-8,OTHER ALKYLBENZENES,Evaluated,Smoothed,< 5%,323.8702234,1,validation,2,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,tert-BUTYLBENZENE,C10H14,98-06-6,OTHER ALKYLBENZENES,Evaluated,Smoothed,< 5%,354.6403014,1,validation,3,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,n-OCTYLBENZENE,C14H22,2189-60-8,N-ALKYLBENZENES,Evaluated,Smoothed,< 5%,526.926549,1,validation,1,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,BIS[3-(TRIETHOXYSILYL)PROPYL]DISULFIDE,C18H42O6S2Si2,56706-10-6,SILANES/SILOXANES,Staff,Predicted,< 10%,1127.871305,1,validation,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,10,0,0,0,0,18,4,0,0,6,0,0
193,"2,7-DIMETHYLOCTANE",C10H22,1072-16-8,DIMETHYLALKANES,Evaluated,Smoothed,< 5%,426.673616,1,validation,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,sec-BUTENYL ACETATE,C6H10O2,11/7/6737,ACETATES,Staff,Predicted,< 10%,289.1771026,1,validation,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,3,0,0,1,0,0,0
